cell,skin_temp,heart_rate,thermal_vote
C000080-S0303,28.75,92.0,11.0
C000081-S0303,28.75,92.0,11.0
C001753-S0304,28.5,74.0,11.0
C001754-S0304,28.5,74.0,11.0
C001776-S0304,28.5,74.0,11.0
C001777-S0304,28.5,74.0,11.0
C000048-S0303,29.625,76.0,10.0
C000049-S0303,29.625,76.0,10.0
C000064-S0303,29.625,76.0,10.0
C000065-S0303,29.625,76.0,10.0
C001724-S0304,31.25,73.0,11.0
C001746-S0304,31.25,73.0,11.0
C001747-S0304,31.25,73.0,11.0
C001748-S0304,31.25,73.0,11.0
C001479-S0304,30.125,77.0,11.0
C001501-S0304,30.125,77.0,11.0
C001502-S0304,30.125,77.0,11.0
C001503-S0304,30.125,77.0,11.0
C001371-S0304,29.5,110.0,11.0
C001372-S0304,29.5,110.0,11.0
C001411-S0304,29.5,110.0,11.0
C001412-S0304,29.5,110.0,11.0
C000288-S0303,29.375,90.0,10.0
C000289-S0303,29.375,90.0,10.0
C000290-S0303,29.375,90.0,10.0
C001808-S0304,29.375,90.0,10.0
C001809-S0304,29.375,90.0,10.0
C001853-S0304,29.375,90.0,10.0
C002712-S0304,29.375,90.0,10.0
C002713-S0304,29.375,90.0,10.0
C002714-S0304,29.375,90.0,10.0
C000963-S0304,29.875,89.0,10.0
C000964-S0304,29.875,89.0,10.0
C001003-S0304,29.875,89.0,10.0
C001004-S0304,29.875,89.0,10.0
C001518-S0304,30.375,83.0,11.0
C001540-S0304,30.375,83.0,11.0
C001541-S0304,30.375,83.0,11.0
C001542-S0304,30.375,83.0,11.0
C000682-S0304,30.375,75.0,11.0
C000722-S0304,30.375,75.0,11.0
C000723-S0304,30.375,75.0,11.0
C000762-S0304,30.375,75.0,11.0
C001687-S0304,31.375,82.0,11.0
C001688-S0304,31.375,82.0,11.0
C001710-S0304,31.375,82.0,11.0
C001711-S0304,31.375,82.0,11.0
C001686-S0304,31.5,78.0,11.0
C001687-S0304,31.5,78.0,11.0
C001710-S0304,31.5,78.0,11.0
C000060-S0303,30.25,66.0,10.0
C000061-S0303,30.25,66.0,10.0
C000076-S0303,30.25,66.0,10.0
C000077-S0303,30.25,66.0,10.0
C000108-S0303,30.375,72.0,10.0
C000123-S0303,30.375,72.0,10.0
C000124-S0303,30.375,72.0,10.0
C000125-S0303,30.375,72.0,10.0
C000086-S0303,30.125,80.0,10.0
C000087-S0303,30.125,80.0,10.0
C000102-S0303,30.125,80.0,10.0
C000103-S0303,30.125,80.0,10.0
C000251-S0304,31.0,88.0,10.0
C000252-S0304,31.0,88.0,10.0
C000283-S0304,31.0,88.0,10.0
C000284-S0304,31.0,88.0,10.0
C001955-S0304,30.875,109.0,11.0
C001956-S0304,30.875,109.0,11.0
C001995-S0304,30.875,109.0,11.0
C000059-S0303,29.375,73.0,10.0
C000060-S0303,29.375,73.0,10.0
C000075-S0303,29.375,73.0,10.0
C000076-S0303,29.375,73.0,10.0
C000043-S0303,29.625,78.0,10.0
C000044-S0303,29.625,78.0,10.0
C000059-S0303,29.625,78.0,10.0
C000060-S0303,29.625,78.0,10.0
C000063-S0303,30.875,97.0,11.0
C000078-S0303,30.875,97.0,11.0
C000079-S0303,30.875,97.0,11.0
C000319-S0303,30.875,97.0,11.0
C000320-S0303,30.875,97.0,11.0
C002682-S0304,30.875,97.0,11.0
C002683-S0304,30.875,97.0,11.0
C002774-S0304,30.875,97.0,11.0
C002775-S0304,30.875,97.0,11.0
C000388-S0304,30.875,111.0,11.0
C000389-S0304,30.875,111.0,11.0
C000420-S0304,30.875,111.0,11.0
C000421-S0304,30.875,111.0,11.0
